,,,,,,,,
,批號庫存狀況,,,,,,,
,,,,,,,,
,※顯示未結案；庫存量＞0的批號；有效天數]>1；扣處待報廢/待處理,,,,,,,
,,,,,,,,
,,最後更新日: 2026/03/19,,,,,,
,,,,,,,,
,,產品料號,產品名稱,有效日期(C),批號,庫存量,剩餘有效天數,庫別名稱
,,M0501005,A5 近江牛 Short Plate 外腹肉-胸腹肉,20260320,20260320            ,6.7,1,客訂品-台北倉
,,M0501033,A5 近江牛 Ribeye 肋眼,20260320,20260320            ,-4.44089209850063E-16,1,客訂品-台北倉
,,M0501074,A5 近江牛 Short Plate 外腹肉-扇子肉,20260320,20260320            ,2.22044604925031E-16,1,客訂品-台北倉
,,A0306003,日穀製粉蕎麥粉(花粉)10K,20260322,20260322            ,1,3,客訂品-台北倉
,,X010114200,清和軒 夢之力直麵 #14200,20260322,20260322            ,10,3,製麵部加工倉
,,X110120160,清和軒 台粉直麵 #20160,20260322,20260322            ,2,3,製麵部加工倉
,,I0507004,FOODHOOD法國蒙太古奶油芋泥餡1KG,20260323,20260323            ,21,4,台北倉庫
,,X020114150,清和軒 麵無双直麵 #14150,20260323,20260326            ,1,4,製麵部加工倉
,,F0101030,L'Opera美索38%(鈕扣)經典牛奶巧克力5K,20260324,20260324            ,5,5,苗栗倉庫
,,L0103005,白玫瑰牌新鮮酵母,20260324,20260324            ,3,5,台北倉庫
,,X110118130,清和軒 台粉直麵 #18130,20260324,20260324            ,53,5,製麵部加工倉
,,A0103001,木田製粉北海道夢之力25K,20260325,20260325            ,-4.44089209850063E-16,6,製麵部加工倉
,,B0401004,中澤北海道純生鮮奶油35 1L,20260325,20260325            ,13,6,客訂品-台北倉
,,B0401005,中澤北海道純生鮮奶油47 1L,20260325,20260325            ,10,6,客訂品-台北倉
,,B0401006,中澤北海道純生鮮奶油40 1L,20260325,20260325            ,35,6,客訂品-台北倉
,,A0108009,洽發松鶴綠粉心22K,20260326,20260326            ,1,7,台北倉庫
,,A0108009,洽發松鶴綠粉心22K,20260326,20260326            ,3,7,苗栗倉庫
,,X010114240,清和軒 夢之力直麵 #14240,20260326,20260326            ,293,7,製麵部加工倉
,,X020118130,清和軒 麵無双直麵 #18130,20260326,20260326            ,66,7,製麵部加工倉
,,X030118130,清和軒 春韻直麵 #18130,20260326,20260326            ,432,7,製麵部加工倉
,,X040208290,清和軒 白蓮烏龍麵 #08290,20260326,20260326            ,232,7,製麵部加工倉
,,X120514260,清和軒 杜白義大利麵 #14260,20260326,20260326            ,5,7,製麵部加工倉
,,Z0010011,和發紫駱駝粉心特級麵條專用麵粉22K(製麵專用),20260326,20260326            ,0.578,7,製麵部加工倉
,,A0102027,昭和加拿大小麥高筋粉25K,20260329,20260329            ,1,10,苗栗倉庫
,,B0301078,FOODHOOD高達起司絲,20260329,20260329            ,2,10,台中倉庫
,,B0401002,中澤奶霜 5KG,20260329,20260329            ,5,10,大榮松山
,,B0401002,中澤奶霜 5KG,20260329,20260329            ,6,10,客訂品-台北倉
,,B0401002,中澤奶霜 5KG,20260329,20260329            ,4,10,客訂品-苗栗倉
,,B0401003,中澤奶霜 10KG,20260329,20260329            ,6,10,客訂品-台北倉
,,A0102015,昭和白蓮日本麵用粉25K,20260330,20260330            ,1.22124532708767E-15,11,製麵部加工倉
,,I0102007,Corsiglia糖漬檸檬皮片2.5K,20260330,20260330            ,33,11,台北倉庫
,,I0102007,Corsiglia糖漬檸檬皮片2.5K,20260330,20260330            ,5,11,苗栗倉庫
,,I0599002,銘珍高雄9號特級紅豆粒餡,20260330,20260330            ,7,11,台北倉庫
,,I0599018,Corsiglia法式栗子泥(無糖)870G,20260330,20260330            ,155,11,台北倉庫
,,J0399003,丸米職人用白味噌20K,20260330,20260330            ,1,11,客訂品-台中倉
,,X030118130,清和軒 春韻直麵 #18130,20260330,20260330            ,442,11,製麵部加工倉
,,X030118260,清和軒 春韻直麵 #18260,20260330,20260330            ,247,11,製麵部加工倉
,,J0499030,東丸白醬汁1.8L,20260331,20260331            ,2,12,苗栗倉庫
,,X010114200,清和軒 夢之力直麵 #14200,20260331,20260331            ,200,12,製麵部加工倉
